"","Short_Name","the_geom","Address","Lat","Long","Grade_Cat","AM_Bell_1415","PM_Bell_1415","AM_Bell_1516","PM_Bell_1415.1","changedBell"
"1","ACE TECH HS","POINT (-87.6258490370775 41.79612150915272)","5410 S State St",41.796122,-87.625849,"HS",NA,NA,NA,NA,0
"2","ADDAMS","POINT (-87.53297604186888 41.698738799501506)","10810 S Avenue H",41.698739,-87.532976,"ES",NA,NA,NA,NA,0
"3","AGASSIZ","POINT (-87.65622866787353 41.93412629732926)","2851 N Seminary Ave",41.934126,-87.656229,"ES","8:00 AM","3:00 PM","7:45 AM","3:00 PM",1
"4","AHS - PASSAGES","POINT (-87.67116041959915 41.983371435594066)","1643 W Bryn Mawr Ave",41.983371,-87.67116,"ES",NA,NA,NA,NA,0
"5","AIR FORCE HS","POINT (-87.63275698281277 41.828145321834505)","3630 S Wells St",41.828145,-87.632757,"HS",NA,NA,NA,NA,0
"6","ALBANY PARK","POINT (-87.7106087883064 41.97150444314325)","4929 N Sawyer Ave",41.971504,-87.710609,"ES",NA,NA,NA,NA,0
"7","ALCOTT ES","POINT (-87.64641313687183 41.9298498518581)","2625 N Orchard St",41.92985,-87.646413,"ES","7:45 AM","2:45 PM","7:30 AM","2:45 PM",1
"8","ALCOTT HS","POINT (-87.68056201292157 41.935794555495015)","2957 N Hoyne Ave",41.935795,-87.680562,"HS",NA,NA,NA,NA,0
"9","ALDRIDGE","POINT (-87.60647384722472 41.65740496963247)","630 E 131st St",41.657405,-87.606474,"ES",NA,NA,NA,NA,0
"10","AMANDLA HS","POINT (-87.63547156927478 41.77080225409796)","6800 S Stewart Ave",41.770802,-87.635472,"HS",NA,NA,NA,NA,0
"11","AMUNDSEN HS","POINT (-87.67948421515057 41.975067256161616)","5110 N Damen Ave",41.975067,-87.679484,"HS","7:45 AM","3:00 PM","7:45 AM","3:00 PM",2
"12","ARIEL","POINT (-87.59750293142264 41.81117346141953)","1119 E 46th St",41.811173,-87.597503,"ES",NA,NA,NA,NA,0
"13","ARMOUR","POINT (-87.6506531559409 41.83385390912795)","950 W 33rd Pl",41.833854,-87.650653,"ES",NA,NA,NA,NA,0
"14","ARMSTRONG G","POINT (-87.68444182723555 42.01014998355085)","2110 W Greenleaf Ave",42.01015,-87.684442,"ES",NA,NA,NA,NA,0
"15","ASHBURN","POINT (-87.70960968186675 41.74235056646534)","8300 S St Louis Ave",41.742351,-87.70961,"ES",NA,NA,NA,NA,0
"16","ASHE","POINT (-87.60117440817388 41.74018379060043)","8505 S Ingleside Ave",41.740184,-87.601174,"ES",NA,NA,NA,NA,0
"17","ASPIRA - BUSINESS & FINANCE HS","POINT (-87.71820414383802 41.93572646632058)","2989 N. Milwaukee Ave",41.935726,-87.718204,"HS",NA,NA,NA,NA,0
"18","ASPIRA - EARLY COLLEGE HS","POINT (-87.72709565821633 41.93729828458827)","3986 W Barry Ave",41.937298,-87.727096,"HS",NA,NA,NA,NA,0
"19","ASPIRA - HAUGAN","POINT (-87.72182466558868 41.96640566728407)","3729 W Leland Ave",41.966406,-87.721825,"ES",NA,NA,NA,NA,0
"20","AUDUBON","POINT (-87.68104105326863 41.94506222420041)","3500 N Hoyne Ave",41.945062,-87.681041,"ES",NA,NA,NA,NA,0
"21","AUSTIN BUS & ENTRP HS","POINT (-87.76189101689764 41.88420467132072)","231 N Pine Ave",41.884205,-87.761891,"HS","8:00 AM","3:15 PM","9:00 AM","3:15 PM",1
"22","AUSTIN POLY HS","POINT (-87.76190894992583 41.88512294334246)","231 N Pine Ave",41.885123,-87.761909,"HS","8:00 AM","3:15 PM","9:00 AM","3:15 PM",1
"23","AVALON PARK","POINT (-87.59165381067288 41.74824699361749)","8045 S Kenwood Ave",41.748247,-87.591654,"ES",NA,NA,NA,NA,0
"24","AZUELA","POINT (-87.73992023347819 41.77107907225546)","4707 W Marquette Rd",41.771079,-87.73992,"ES",NA,NA,NA,NA,0
"25","BACK OF THE YARDS HS","POINT (-87.67754136778272 41.808412542810615)","2111 W 47th St",41.808413,-87.677541,"HS","8:00 AM","3:12 PM","7:30 AM","3:12 PM",3
"26","BANNER WEST HS","POINT (-87.75406405283628 41.89567772457178)","819 N Leamington Ave",41.895678,-87.754064,"HS",NA,NA,NA,NA,0
"27","BARNARD","POINT (-87.65807422422662 41.705131010946644)","10354 S Charles St",41.705131,-87.658074,"ES",NA,NA,NA,NA,0
